"Povpreène meseène plaèe (EUR) po dejavnostih (SKD 2008), ravni dosežene izobrazbe in spolu, Slovenija, letno"

"SKD DEJAVNOST","RAVEN DOSEŽENE IZOBRAZBE","SPOL","2008 Bruto Povpreèje","2008 Bruto Mediana","2008 Bruto Spodnji kvartil","2008 Bruto Zgornji kvartil","2008 Bruto 10. percentil","2008 Bruto 90. percentil","2008 Bruto 99. percentil","2008 Bruto Standardni odklon","2008 Neto Povpreèje","2008 Neto Mediana","2008 Neto Spodnji kvartil","2008 Neto Zgornji kvartil","2008 Neto 10. percentil","2008 Neto 90. percentil","2008 Neto 99. percentil","2008 Neto Standardni odklon","2009 Bruto Povpreèje","2009 Bruto Mediana","2009 Bruto Spodnji kvartil","2009 Bruto Zgornji kvartil","2009 Bruto 10. percentil","2009 Bruto 90. percentil","2009 Bruto 99. percentil","2009 Bruto Standardni odklon","2009 Neto Povpreèje","2009 Neto Mediana","2009 Neto Spodnji kvartil","2009 Neto Zgornji kvartil","2009 Neto 10. percentil","2009 Neto 90. percentil","2009 Neto 99. percentil","2009 Neto Standardni odklon","2010 Bruto Povpreèje","2010 Bruto Mediana","2010 Bruto Spodnji kvartil","2010 Bruto Zgornji kvartil","2010 Bruto 10. percentil","2010 Bruto 90. percentil","2010 Bruto 99. percentil","2010 Bruto Standardni odklon","2010 Neto Povpreèje","2010 Neto Mediana","2010 Neto Spodnji kvartil","2010 Neto Zgornji kvartil","2010 Neto 10. percentil","2010 Neto 90. percentil","2010 Neto 99. percentil","2010 Neto Standardni odklon","2011 Bruto Povpreèje","2011 Bruto Mediana","2011 Bruto Spodnji kvartil","2011 Bruto Zgornji kvartil","2011 Bruto 10. percentil","2011 Bruto 90. percentil","2011 Bruto 99. percentil","2011 Bruto Standardni odklon","2011 Neto Povpreèje","2011 Neto Mediana","2011 Neto Spodnji kvartil","2011 Neto Zgornji kvartil","2011 Neto 10. percentil","2011 Neto 90. percentil","2011 Neto 99. percentil","2011 Neto Standardni odklon","2012 Bruto Povpreèje","2012 Bruto Mediana","2012 Bruto Spodnji kvartil","2012 Bruto Zgornji kvartil","2012 Bruto 10. percentil","2012 Bruto 90. percentil","2012 Bruto 99. percentil","2012 Bruto Standardni odklon","2012 Neto Povpreèje","2012 Neto Mediana","2012 Neto Spodnji kvartil","2012 Neto Zgornji kvartil","2012 Neto 10. percentil","2012 Neto 90. percentil","2012 Neto 99. percentil","2012 Neto Standardni odklon","2013 Bruto Povpreèje","2013 Bruto Mediana","2013 Bruto Spodnji kvartil","2013 Bruto Zgornji kvartil","2013 Bruto 10. percentil","2013 Bruto 90. percentil","2013 Bruto 99. percentil","2013 Bruto Standardni odklon","2013 Neto Povpreèje","2013 Neto Mediana","2013 Neto Spodnji kvartil","2013 Neto Zgornji kvartil","2013 Neto 10. percentil","2013 Neto 90. percentil","2013 Neto 99. percentil","2013 Neto Standardni odklon","2014 Bruto Povpreèje","2014 Bruto Mediana","2014 Bruto Spodnji kvartil","2014 Bruto Zgornji kvartil","2014 Bruto 10. percentil","2014 Bruto 90. percentil","2014 Bruto 99. percentil","2014 Bruto Standardni odklon","2014 Neto Povpreèje","2014 Neto Mediana","2014 Neto Spodnji kvartil","2014 Neto Zgornji kvartil","2014 Neto 10. percentil","2014 Neto 90. percentil","2014 Neto 99. percentil","2014 Neto Standardni odklon","2015 Bruto Povpreèje","2015 Bruto Mediana","2015 Bruto Spodnji kvartil","2015 Bruto Zgornji kvartil","2015 Bruto 10. percentil","2015 Bruto 90. percentil","2015 Bruto 99. percentil","2015 Bruto Standardni odklon","2015 Neto Povpreèje","2015 Neto Mediana","2015 Neto Spodnji kvartil","2015 Neto Zgornji kvartil","2015 Neto 10. percentil","2015 Neto 90. percentil","2015 Neto 99. percentil","2015 Neto Standardni odklon","2016 Bruto Povpreèje","2016 Bruto Mediana","2016 Bruto Spodnji kvartil","2016 Bruto Zgornji kvartil","2016 Bruto 10. percentil","2016 Bruto 90. percentil","2016 Bruto 99. percentil","2016 Bruto Standardni odklon","2016 Neto Povpreèje","2016 Neto Mediana","2016 Neto Spodnji kvartil","2016 Neto Zgornji kvartil","2016 Neto 10. percentil","2016 Neto 90. percentil","2016 Neto 99. percentil","2016 Neto Standardni odklon","2017 Bruto Povpreèje","2017 Bruto Mediana","2017 Bruto Spodnji kvartil","2017 Bruto Zgornji kvartil","2017 Bruto 10. percentil","2017 Bruto 90. percentil","2017 Bruto 99. percentil","2017 Bruto Standardni odklon","2017 Neto Povpreèje","2017 Neto Mediana","2017 Neto Spodnji kvartil","2017 Neto Zgornji kvartil","2017 Neto 10. percentil","2017 Neto 90. percentil","2017 Neto 99. percentil","2017 Neto Standardni odklon","2018 Bruto Povpreèje","2018 Bruto Mediana","2018 Bruto Spodnji kvartil","2018 Bruto Zgornji kvartil","2018 Bruto 10. percentil","2018 Bruto 90. percentil","2018 Bruto 99. percentil","2018 Bruto Standardni odklon","2018 Neto Povpreèje","2018 Neto Mediana","2018 Neto Spodnji kvartil","2018 Neto Zgornji kvartil","2018 Neto 10. percentil","2018 Neto 90. percentil","2018 Neto 99. percentil","2018 Neto Standardni odklon","2019 Bruto Povpreèje","2019 Bruto Mediana","2019 Bruto Spodnji kvartil","2019 Bruto Zgornji kvartil","2019 Bruto 10. percentil","2019 Bruto 90. percentil","2019 Bruto 99. percentil","2019 Bruto Standardni odklon","2019 Neto Povpreèje","2019 Neto Mediana","2019 Neto Spodnji kvartil","2019 Neto Zgornji kvartil","2019 Neto 10. percentil","2019 Neto 90. percentil","2019 Neto 99. percentil","2019 Neto Standardni odklon","2020 Bruto Povpreèje","2020 Bruto Mediana","2020 Bruto Spodnji kvartil","2020 Bruto Zgornji kvartil","2020 Bruto 10. percentil","2020 Bruto 90. percentil","2020 Bruto 99. percentil","2020 Bruto Standardni odklon","2020 Neto Povpreèje","2020 Neto Mediana","2020 Neto Spodnji kvartil","2020 Neto Zgornji kvartil","2020 Neto 10. percentil","2020 Neto 90. percentil","2020 Neto 99. percentil","2020 Neto Standardni odklon","2021 (zaèasni podatki) Bruto Povpreèje","2021 (zaèasni podatki) Bruto Mediana","2021 (zaèasni podatki) Bruto Spodnji kvartil","2021 (zaèasni podatki) Bruto Zgornji kvartil","2021 (zaèasni podatki) Bruto 10. percentil","2021 (zaèasni podatki) Bruto 90. percentil","2021 (zaèasni podatki) Bruto 99. percentil","2021 (zaèasni podatki) Bruto Standardni odklon","2021 (zaèasni podatki) Neto Povpreèje","2021 (zaèasni podatki) Neto Mediana","2021 (zaèasni podatki) Neto Spodnji kvartil","2021 (zaèasni podatki) Neto Zgornji kvartil","2021 (zaèasni podatki) Neto 10. percentil","2021 (zaèasni podatki) Neto 90. percentil","2021 (zaèasni podatki) Neto 99. percentil","2021 (zaèasni podatki) Neto Standardni odklon"
"SKD Dejavnost - SKUPAJ","Raven izobrazbe - SKUPAJ","Spol - SKUPAJ",1427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1538,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1582,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1601,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1598,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1637,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1652,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1686,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1722,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1851,1539,1142,2180,948,2973,-,-,-,-,-,-,-,-,-,-,1942,1605,1206,2295,1027,3135,6400,1239,1256,1076,834,1481,723,1965,3609,650,2138,1763,1336,2528,1130,3458,7105,1375,1375,1174,919,1623,788,2152,4009,716
"SKD Dejavnost - SKUPAJ","Raven izobrazbe - SKUPAJ","Moški",1474,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1496,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1564,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1617,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1639,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1639,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1678,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1698,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1733,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1770,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1837,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1900,1563,1185,2187,956,3077,-,-,-,-,-,-,-,-,-,-,1979,1619,1238,2285,1028,3226,6842,1345,1278,1088,855,1480,724,2022,3830,694,2165,1775,1361,2493,1128,3527,7563,1495,1390,1183,934,1606,786,2192,4211,761
"SKD Dejavnost - SKUPAJ","Raven izobrazbe - SKUPAJ","Ženske",1368,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1453,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1542,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1555,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1551,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1589,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1598,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1631,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1664,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1708,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1790,1508,1097,2172,941,2852,-,-,-,-,-,-,-,-,-,-,1896,1585,1173,2306,1026,3034,5882,1094,1228,1061,813,1481,723,1901,3351,590,2107,1747,1312,2570,1132,3393,6563,1219,1359,1164,904,1645,790,2113,3753,658
"SKD Dejavnost - SKUPAJ","Osnovnošolska ali manj","Spol - SKUPAJ",891,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,895,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,952,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,993,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1037,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1068,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1087,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1238,1129,959,1388,893,1718,-,-,-,-,-,-,-,-,-,-,1310,1203,1042,1457,969,1780,2634,399,895,833,731,993,680,1185,1685,239,1446,1348,1164,1604,1060,1938,2866,434,982,927,810,1082,745,1279,1819,253
"SKD Dejavnost - SKUPAJ","Osnovnošolska ali manj","Moški",955,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,940,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1052,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1088,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1323,1226,995,1513,910,1863,-,-,-,-,-,-,-,-,-,-,1379,1280,1057,1570,968,1915,2779,440,936,882,739,1061,673,1265,1773,264,1514,1412,1179,1713,1059,2074,3073,488,1022,966,818,1149,742,1360,1948,284
"SKD Dejavnost - SKUPAJ","Osnovnošolska ali manj","Ženske",793,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,824,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,873,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,929,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,940,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,964,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1067,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1114,1047,936,1203,883,1416,-,-,-,-,-,-,-,-,-,-,1203,1132,1031,1299,970,1498,2216,294,831,787,726,894,687,1015,1441,173,1350,1289,1152,1470,1062,1685,2353,320,925,891,803,1002,747,1130,1524,187
"SKD Dejavnost - SKUPAJ","Srednješolska","Spol - SKUPAJ",1203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1287,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1302,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1334,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1346,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1447,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1506,1353,1066,1741,937,2230,-,-,-,-,-,-,-,-,-,-,1572,1404,1133,1800,1010,2321,3825,688,1049,957,788,1191,711,1498,2334,385,1721,1538,1250,1964,1104,2538,4144,805,1142,1041,865,1295,771,1630,2507,431
"SKD Dejavnost - SKUPAJ","Srednješolska","Moški",1269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1316,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1345,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1363,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1364,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1438,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1466,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1531,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1588,1433,1130,1840,944,2357,-,-,-,-,-,-,-,-,-,-,1647,1478,1180,1895,1015,2444,4062,744,1094,1003,817,1250,714,1574,2461,414,1796,1613,1294,2058,1109,2658,4387,894,1186,1086,893,1350,774,1701,2637,469
"SKD Dejavnost - SKUPAJ","Srednješolska","Ženske",1105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1232,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1311,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1365,1217,1005,1573,918,1988,-,-,-,-,-,-,-,-,-,-,1439,1279,1087,1629,1000,2066,3294,552,969,880,759,1087,707,1340,2045,312,1594,1426,1207,1795,1096,2308,3619,605,1068,974,838,1194,767,1495,2232,344
"SKD Dejavnost - SKUPAJ","Višješolska, visokošolska","Spol - SKUPAJ",2322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2347,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2292,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2311,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2313,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2334,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2356,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2487,2185,1591,2867,1177,3983,-,-,-,-,-,-,-,-,-,-,2595,2300,1665,3019,1240,4126,8329,1619,1623,1482,1109,1900,855,2492,4505,813,2829,2506,1809,3316,1345,4476,9159,1754,1763,1610,1199,2074,923,2699,4922,885
