"Povpreèna porabljena denarna sredstva gospodinjstev, Slovenija, veèletno"

"ECOICOP","2000 Povpreèno na gospodinjstvo (EUR)","2000 Povpreèno na èlana gospodinjstva (EUR)","2000 Struktura porabe (%)","2001 Povpreèno na gospodinjstvo (EUR)","2001 Povpreèno na èlana gospodinjstva (EUR)","2001 Struktura porabe (%)","2002 Povpreèno na gospodinjstvo (EUR)","2002 Povpreèno na èlana gospodinjstva (EUR)","2002 Struktura porabe (%)","2003 Povpreèno na gospodinjstvo (EUR)","2003 Povpreèno na èlana gospodinjstva (EUR)","2003 Struktura porabe (%)","2004 Povpreèno na gospodinjstvo (EUR)","2004 Povpreèno na èlana gospodinjstva (EUR)","2004 Struktura porabe (%)","2005 Povpreèno na gospodinjstvo (EUR)","2005 Povpreèno na èlana gospodinjstva (EUR)","2005 Struktura porabe (%)","2006 Povpreèno na gospodinjstvo (EUR)","2006 Povpreèno na èlana gospodinjstva (EUR)","2006 Struktura porabe (%)","2007 Povpreèno na gospodinjstvo (EUR)","2007 Povpreèno na èlana gospodinjstva (EUR)","2007 Struktura porabe (%)","2008 Povpreèno na gospodinjstvo (EUR)","2008 Povpreèno na èlana gospodinjstva (EUR)","2008 Struktura porabe (%)","2009 Povpreèno na gospodinjstvo (EUR)","2009 Povpreèno na èlana gospodinjstva (EUR)","2009 Struktura porabe (%)","2010 Povpreèno na gospodinjstvo (EUR)","2010 Povpreèno na èlana gospodinjstva (EUR)","2010 Struktura porabe (%)","2012 Povpreèno na gospodinjstvo (EUR)","2012 Povpreèno na èlana gospodinjstva (EUR)","2012 Struktura porabe (%)","2015 Povpreèno na gospodinjstvo (EUR)","2015 Povpreèno na èlana gospodinjstva (EUR)","2015 Struktura porabe (%)","2018 Povpreèno na gospodinjstvo (EUR)","2018 Povpreèno na èlana gospodinjstva (EUR)","2018 Struktura porabe (%)"
"00 PORABLJENA SREDSTVA",12808.94,4294.93,100.00,13595.67,4652.50,100.00,14572.34,5089.98,100.00,15446.62,5536.19,100.00,16664.79,6118.07,100.00,17215.04,6435.04,100.00,18026.54,6804.64,100.00,18806.37,7142.42,100.00,20753.76,8022.85,100.00,20355.73,7957.67,100.00,20338.99,8046.11,100.00,19250.03,7669.10,100.00,19496.43,7523.63,100.00,21360.35,8608.35,100.00
"001 Izdatki za življenjske potrebšèine",11518.97,3862.39,89.93,12230.64,4185.38,89.96,13042.37,4555.57,89.50,13744.85,4926.26,88.98,14615.64,5365.78,87.70,14956.24,5590.69,86.88,15331.77,5787.42,85.05,15908.15,6041.71,84.59,17482.03,6758.09,84.24,17142.14,6701.38,84.21,17420.21,6891.44,85.65,16796.81,6691.70,87.26,17333.63,6689.01,88.91,19559.77,7882.70,91.57
"01 HRANA IN BREZALKOHOLNE PIJAÈE",2327.16,780.31,18.17,2422.45,828.97,17.82,2531.54,884.24,17.37,2524.89,904.94,16.35,2528.67,928.34,15.17,2488.57,930.23,14.46,2540.74,959.08,14.09,2621.35,995.55,13.94,2866.44,1108.09,13.81,2767.73,1081.99,13.60,2847.86,1126.62,14.00,2750.84,1095.90,14.29,2671.17,1030.80,13.70,2816.99,1135.27,13.19
"011 HRANA",2083.17,698.57,16.26,2177.83,745.25,16.04,2279.12,796.07,15.64,2276.45,815.91,14.71,2281.65,837.66,13.70,2249.58,840.91,13.05,2294.59,866.12,12.74,2365.23,898.28,12.57,2590.17,1001.28,12.46,2498.41,976.71,12.26,2568.89,1016.25,12.68,2471.66,984.69,12.84,2424.06,935.44,12.43,2557.70,1030.77,12.01
"0111 Kruh in izdelki iz žit",422.65,141.74,3.30,461.11,157.80,3.39,482.41,168.50,3.31,486.89,174.51,3.15,480.52,176.41,2.88,468.53,175.13,2.72,467.17,176.34,2.59,463.74,176.12,2.47,497.53,192.33,2.40,471.35,184.27,2.32,481.69,190.55,2.37,464.92,185.22,2.42,439.95,169.77,2.26,471.60,190.06,2.21
"01111 Riž",12.19,4.09,0.10,12.27,4.20,0.09,11.82,4.13,0.08,11.40,4.09,0.07,10.55,3.87,0.06,10.31,3.85,0.06,10.69,4.03,0.06,11.10,4.21,0.06,12.31,4.76,0.06,11.33,4.43,0.06,11.61,4.59,0.06,11.84,4.72,0.06,11.15,4.30,0.06,10.58,4.26,0.05
"01112 Moka in drugi izdelki iz žit",34.35,11.52,0.27,37.15,12.71,0.27,37.49,13.09,0.26,37.85,13.57,0.25,33.61,12.34,0.20,30.43,11.37,0.18,29.31,11.06,0.16,31.56,11.98,0.17,34.66,13.40,0.17,33.38,13.05,0.16,33.21,13.14,0.16,38.90,15.50,0.20,34.77,13.42,0.18,29.72,11.98,0.14
"01113 Kruh",215.88,72.40,1.69,239.42,81.93,1.76,250.31,87.43,1.72,246.76,88.44,1.60,235.96,86.63,1.42,219.17,81.93,1.27,209.94,79.25,1.16,199.63,75.82,1.06,205.84,79.57,0.99,188.86,73.83,0.93,189.44,74.94,0.93,166.68,66.40,0.87,163.48,63.09,0.84,165.17,66.56,0.78
"01114 Drugi pekovski in slašèièarski izdelki",107.67,36.11,0.84,117.59,40.24,0.86,125.29,43.76,0.86,131.42,47.10,0.85,140.68,51.65,0.84,146.75,54.86,0.85,155.05,58.53,0.86,155.95,59.23,0.83,171.77,66.40,0.83,164.49,64.31,0.81,171.74,67.94,0.84,168.37,67.08,0.87,153.57,59.26,0.79,175.57,70.76,0.82
"01115 Pice in pite",7.57,2.54,0.06,8.31,2.84,0.06,8.33,2.91,0.06,8.30,2.97,0.05,8.88,3.26,0.05,9.67,3.61,0.06,10.09,3.81,0.06,10.13,3.85,0.05,11.54,4.46,0.06,12.20,4.77,0.06,13.40,5.30,0.07,14.68,5.85,0.08,20.58,7.94,0.11,23.90,9.63,0.11
